borough,community_board,permit_year,total_permits,new_buildings,major_alterations,avg_approval_lag,permit_growth_yoy,permits_3yr_avg
Brooklyn,307.0,2015,2,2,0,0.0,,2.0
Brooklyn,307.0,2016,1,1,0,13.0,-0.5,1.5
Brooklyn,307.0,2018,2,2,0,12.5,1.0,1.6666666666666667
Brooklyn,307.0,2019,1,1,0,0.0,-0.5,1.3333333333333333
Brooklyn,308.0,2016,3,3,0,9.0,,3.0
Brooklyn,308.0,2017,2,2,0,0.0,-0.33333333333333337,2.5
Brooklyn,308.0,2018,1,1,0,0.0,-0.5,2.0
Brooklyn,308.0,2019,2,2,0,0.0,1.0,1.6666666666666667
Brooklyn,309.0,2015,2,2,0,0.0,,2.0
Brooklyn,309.0,2016,1,1,0,15.0,-0.5,1.5
Brooklyn,309.0,2018,1,1,0,0.0,0.0,1.3333333333333333
Brooklyn,309.0,2019,2,2,0,0.0,1.0,1.3333333333333333
Brooklyn,310.0,2017,1,1,0,0.0,,1.0
Brooklyn,310.0,2018,1,1,0,0.0,0.0,1.0
Brooklyn,310.0,2019,1,1,0,0.0,0.0,1.0
Brooklyn,310.0,2020,1,1,0,0.0,0.0,1.0
Brooklyn,311.0,2015,1,1,0,0.0,,1.0
Brooklyn,311.0,2018,1,1,0,0.0,0.0,1.0
Brooklyn,311.0,2019,1,1,0,0.0,0.0,1.0
Brooklyn,312.0,2015,3,3,0,0.3333333333333333,,3.0
Brooklyn,312.0,2016,1,1,0,0.0,-0.6666666666666667,2.0
Brooklyn,312.0,2017,3,3,0,0.0,2.0,2.3333333333333335
Brooklyn,312.0,2018,1,1,0,0.0,-0.6666666666666667,1.6666666666666667
Brooklyn,312.0,2019,1,1,0,0.0,0.0,1.6666666666666667
Brooklyn,313.0,2017,1,1,0,0.0,,1.0
Brooklyn,313.0,2019,2,2,0,9.5,1.0,1.5
Brooklyn,314.0,2015,1,1,0,0.0,,1.0
Brooklyn,314.0,2019,1,1,0,0.0,0.0,1.0
Brooklyn,315.0,2015,2,2,0,0.5,,2.0
Brooklyn,315.0,2016,2,2,0,2.5,0.0,2.0
Brooklyn,315.0,2017,2,2,0,0.0,0.0,2.0
Brooklyn,315.0,2018,2,2,0,0.5,0.0,2.0
Brooklyn,315.0,2019,3,3,0,0.0,0.5,2.3333333333333335
Brooklyn,316.0,2019,1,1,0,0.0,,1.0
Brooklyn,317.0,2016,2,2,0,0.0,,2.0
Brooklyn,317.0,2017,2,2,0,0.0,0.0,2.0
