borough,neighborhood,sale_year,median_sale_price,median_price_per_sqft,num_sales,price_appreciation_yoy
Bronx,WESTCHESTER,2026,850000.0,406.4542483660131,23,-0.1076677584614093
Bronx,WILLIAMSBRIDGE,2025,700000.0,322.6594241300123,150,
Bronx,WILLIAMSBRIDGE,2026,614874.5,329.4620051085568,44,-0.12160785714285716
Bronx,WOODLAWN,2025,679500.0,357.58981695494526,60,
Bronx,WOODLAWN,2026,700000.0,380.1296766139101,13,0.030169242089771897
Brooklyn,BATH BEACH,2025,980000.0,601.8624865294084,137,
Brooklyn,BATH BEACH,2026,1080000.0,632.5878594249201,49,0.1020408163265305
Brooklyn,BAY RIDGE,2025,1220000.0,631.1710738985222,529,
Brooklyn,BAY RIDGE,2026,1087500.0,729.1666666666666,128,-0.10860655737704916
Brooklyn,BEDFORD STUYVESANT,2025,1337500.0,633.0246913580247,566,
Brooklyn,BEDFORD STUYVESANT,2026,1450000.0,578.578947368421,164,0.08411214953271018
Brooklyn,BENSONHURST,2025,1315800.0,661.0124177999106,247,
Brooklyn,BENSONHURST,2026,1370000.0,572.8110599078341,73,0.04119167046663619
Brooklyn,BERGEN BEACH,2025,769000.0,424.12458924241196,69,
Brooklyn,BERGEN BEACH,2026,882500.0,486.65637725895976,23,0.14759427828348515
Brooklyn,BOERUM HILL,2025,1872000.0,1165.8717541070482,209,
Brooklyn,BOERUM HILL,2026,2170000.0,898.993404038247,59,0.1591880341880343
Brooklyn,BOROUGH PARK,2025,1300000.0,682.3995116991723,473,
Brooklyn,BOROUGH PARK,2026,1750000.0,722.7307398932113,128,0.34615384615384626
Brooklyn,BRIGHTON BEACH,2025,555000.0,461.85493827160496,174,
Brooklyn,BRIGHTON BEACH,2026,540000.0,440.70512820512823,46,-0.027027027027026973
Brooklyn,BROOKLYN HEIGHTS,2025,1377500.0,1525.4000969932104,223,
Brooklyn,BROOKLYN HEIGHTS,2026,1400000.0,1491.9354838709678,63,0.016333938294010864
Brooklyn,BROWNSVILLE,2025,692309.0,353.51738934056004,115,
Brooklyn,BROWNSVILLE,2026,698400.0,349.13793103448273,31,0.00879809449248814
Brooklyn,BUSH TERMINAL,2025,1056500.0,414.0432098765432,22,
Brooklyn,BUSH TERMINAL,2026,1655000.0,445.94594594594594,6,0.5664931377188831
Brooklyn,BUSHWICK,2025,1100000.0,524.6913580246913,307,
Brooklyn,BUSHWICK,2026,1029489.5,403.0591153369161,70,-0.06410045454545454
Brooklyn,CANARSIE,2025,735000.0,400.76335877862596,332,
Brooklyn,CANARSIE,2026,726000.0,378.7878787878788,82,-0.01224489795918371
Brooklyn,CARROLL GARDENS,2025,2447356.5,1145.8333333333333,112,
Brooklyn,CARROLL GARDENS,2026,2625000.0,1138.955603768488,35,0.07258586969246195
Brooklyn,CLINTON HILL,2025,1278500.0,909.0909090909091,196,
Brooklyn,CLINTON HILL,2026,1087500.0,657.8166666666667,64,-0.14939382088384823
Brooklyn,COBBLE HILL,2025,1975000.0,1564.068748202042,83,
Brooklyn,COBBLE HILL,2026,1635000.0,1587.3015873015872,24,-0.17215189873417724
Brooklyn,COBBLE HILL-WEST,2025,1714224.0,971.7451280579211,42,
Brooklyn,COBBLE HILL-WEST,2026,1810000.0,807.0486574938997,11,0.05587134470174249
Brooklyn,CONEY ISLAND,2025,458750.0,408.3333333333333,112,
Brooklyn,CONEY ISLAND,2026,410000.0,520.979020979021,26,-0.10626702997275206
Brooklyn,CROWN HEIGHTS,2025,1300000.0,472.56004913905133,328,
Brooklyn,CROWN HEIGHTS,2026,1600000.0,425.82518963784275,121,0.23076923076923084
Brooklyn,CYPRESS HILLS,2025,800000.0,376.6666666666667,126,
Brooklyn,CYPRESS HILLS,2026,800000.0,404.1153055983565,36,0.0
Brooklyn,DOWNTOWN-FULTON FERRY,2025,2015000.0,823.5107344984442,103,
Brooklyn,DOWNTOWN-FULTON FERRY,2026,2277500.0,70.96774193548387,40,0.13027295285359797
Brooklyn,DOWNTOWN-FULTON MALL,2025,1515000.0,4.547657879965687,103,
Brooklyn,DOWNTOWN-FULTON MALL,2026,1465000.0,245.5629838358166,35,-0.03300330033003296
Brooklyn,DOWNTOWN-METROTECH,2025,802000.0,1.622777670251887,54,
Brooklyn,DOWNTOWN-METROTECH,2026,673000.0,,10,-0.1608478802992519
Brooklyn,DYKER HEIGHTS,2025,1260000.0,703.5211267605633,162,
Brooklyn,DYKER HEIGHTS,2026,1016214.0,716.6149068322982,36,-0.19348095238095242
Brooklyn,EAST NEW YORK,2025,780000.0,368.42105263157896,375,
Brooklyn,EAST NEW YORK,2026,662035.0,369.6969696969697,116,-0.15123717948717952
Brooklyn,FLATBUSH-CENTRAL,2025,789606.5,448.69877355668564,268,
Brooklyn,FLATBUSH-CENTRAL,2026,1450000.0,666.6666666666666,100,0.8363577300845422
Brooklyn,FLATBUSH-EAST,2025,715000.0,428.66774611398966,328,
Brooklyn,FLATBUSH-EAST,2026,730000.0,401.8779641385846,107,0.020979020979021046
Brooklyn,FLATBUSH-LEFFERTS GARDEN,2025,1377500.0,626.6937669376694,92,
Brooklyn,FLATBUSH-LEFFERTS GARDEN,2026,1820000.0,729.3986636971047,38,0.32123411978221417
Brooklyn,FLATBUSH-NORTH,2025,840000.0,351.78236397748594,159,
Brooklyn,FLATBUSH-NORTH,2026,875000.0,386.31248519308224,49,0.04166666666666674
Brooklyn,FLATLANDS,2025,640460.0,403.63511659807955,71,
Brooklyn,FLATLANDS,2026,750000.0,439.2716563305298,26,0.1710333198013927
Brooklyn,FORT GREENE,2025,1895000.0,1179.3627084889222,145,
Brooklyn,FORT GREENE,2026,1348750.0,701.8722018722019,36,-0.2882585751978892
Brooklyn,GERRITSEN BEACH,2025,654500.0,529.2652552926526,49,
Brooklyn,GERRITSEN BEACH,2026,600000.0,527.9034690799397,15,-0.08326967150496567
Brooklyn,GOWANUS,2025,1697500.0,902.8840574835394,82,
Brooklyn,GOWANUS,2026,1175000.0,1143.5723852783601,22,-0.3078055964653903
Brooklyn,GRAVESEND,2025,850000.0,622.55859375,304,
Brooklyn,GRAVESEND,2026,823000.0,588.2352941176471,101,-0.03176470588235292
Brooklyn,GREENPOINT,2025,1550000.0,728.5346945014415,317,
Brooklyn,GREENPOINT,2026,1950000.0,943.3165991427397,61,0.25806451612903225
Brooklyn,KENSINGTON,2025,730000.0,717.7326418899452,76,
Brooklyn,KENSINGTON,2026,474575.0,621.09375,16,-0.3498972602739726
Brooklyn,MADISON,2025,880000.0,546.5454935078851,185,
Brooklyn,MADISON,2026,999000.0,723.9130434782609,49,0.13522727272727275
Brooklyn,MANHATTAN BEACH,2025,1350000.0,672.7085087664486,49,
Brooklyn,MANHATTAN BEACH,2026,1660000.0,815.0197289414994,8,0.22962962962962963
Brooklyn,MARINE PARK,2025,815000.0,596.1597379336349,195,
Brooklyn,MARINE PARK,2026,850000.0,615.2071886446886,51,0.042944785276073594
Brooklyn,MIDWOOD,2025,875000.0,646.8931686046512,210,
Brooklyn,MIDWOOD,2026,975500.0,703.6747458952307,52,0.11485714285714277
Brooklyn,MILL BASIN,2025,1200000.0,535.2941176470588,51,
Brooklyn,MILL BASIN,2026,1250000.0,566.2393162393163,15,0.04166666666666674
Brooklyn,NAVY YARD,2025,1200000.0,537.3717635564241,11,
Brooklyn,NAVY YARD,2026,1925000.0,832.6337390979899,2,0.6041666666666667
Brooklyn,OCEAN HILL,2025,999999.0,400.80160320641284,137,
Brooklyn,OCEAN HILL,2026,827500.0,391.8269230769231,33,-0.17249917249917246
Brooklyn,OCEAN PARKWAY-NORTH,2025,710000.0,859.0277777777778,347,
Brooklyn,OCEAN PARKWAY-NORTH,2026,1615500.0,987.2539532579983,78,1.2753521126760563
Brooklyn,OCEAN PARKWAY-SOUTH,2025,800000.0,603.6931818181819,133,
Brooklyn,OCEAN PARKWAY-SOUTH,2026,720000.0,772.6438188494492,43,-0.09999999999999998
Brooklyn,OLD MILL BASIN,2025,678000.0,517.7304964539007,107,
Brooklyn,OLD MILL BASIN,2026,670000.0,411.35417367535746,31,-0.01179941002949858
Brooklyn,PARK SLOPE,2025,1800000.0,1122.171466978666,409,
Brooklyn,PARK SLOPE,2026,2245303.0,1061.2299465240642,111,0.24739055555555556
Brooklyn,PARK SLOPE SOUTH,2025,1619018.0,1260.6837606837607,170,
Brooklyn,PARK SLOPE SOUTH,2026,1674500.0,932.0189614307262,72,0.034268921037320155
Brooklyn,PROSPECT HEIGHTS,2025,1411000.0,844.9695667740781,149,
Brooklyn,PROSPECT HEIGHTS,2026,1501919.0,456.7307692307692,39,0.06443586109142463
Brooklyn,RED HOOK,2025,1560000.0,920.0,41,
Brooklyn,RED HOOK,2026,2494713.0,600.0,7,0.599175
Brooklyn,SEAGATE,2025,850000.0,379.08496732026146,25,
Brooklyn,SEAGATE,2026,545000.0,0.25510204081632654,3,-0.35882352941176465
Brooklyn,SHEEPSHEAD BAY,2025,651000.0,510.4859335038363,347,
Brooklyn,SHEEPSHEAD BAY,2026,690000.0,503.6407766990291,101,0.05990783410138256
Brooklyn,SPRING CREEK,2025,816500.0,333.83769948810595,2,
Brooklyn,SUNSET PARK,2025,1315000.0,585.2474700966413,272,
Brooklyn,SUNSET PARK,2026,1360000.0,636.3066343042071,77,0.034220532319391594
Brooklyn,WILLIAMSBURG-CENTRAL,2025,989500.0,699.561403508772,70,
Brooklyn,WILLIAMSBURG-CENTRAL,2026,1400000.0,710.8819345661451,11,0.414855987872663
Brooklyn,WILLIAMSBURG-EAST,2025,1622500.0,779.5138888888889,268,
Brooklyn,WILLIAMSBURG-EAST,2026,1790000.0,1007.9641612742658,95,0.1032357473035439
Brooklyn,WILLIAMSBURG-NORTH,2025,1750000.0,1242.5153274374695,167,
Brooklyn,WILLIAMSBURG-NORTH,2026,1458500.0,934.5794392523364,46,-0.1665714285714286
Brooklyn,WILLIAMSBURG-SOUTH,2025,1725000.0,836.2038352272727,235,
Brooklyn,WILLIAMSBURG-SOUTH,2026,2145000.0,780.8911345888838,48,0.24347826086956514
Brooklyn,WINDSOR TERRACE,2025,1300000.0,920.7308743169399,97,
Brooklyn,WINDSOR TERRACE,2026,1295000.0,1274.0112994350281,33,-0.0038461538461538325
Brooklyn,WYCKOFF HEIGHTS,2025,1100000.0,373.4030197444832,48,
Brooklyn,WYCKOFF HEIGHTS,2026,985000.0,393.6352441316198,18,-0.1045454545454545
Manhattan,ALPHABET CITY,2025,719699.0,572.2460658082975,62,
Manhattan,ALPHABET CITY,2026,950000.0,442.88804202286536,27,0.31999627622103133
Manhattan,CHELSEA,2025,1331030.0,1339.2857142857142,584,
Manhattan,CHELSEA,2026,1752500.0,928.4897868888725,152,0.3166495120320354
Manhattan,CHINATOWN,2025,1827225.0,539.2824704813805,40,
Manhattan,CHINATOWN,2026,1525000.0,1023.7031947784267,21,-0.16540108634678274
Manhattan,CIVIC CENTER,2025,3230000.0,798.6338886611134,97,
Manhattan,CIVIC CENTER,2026,3500000.0,716.7423750811162,38,0.08359133126934992
Manhattan,CLINTON,2025,907500.0,454.84024785547695,186,
Manhattan,CLINTON,2026,1032500.0,25.419023136246786,44,0.13774104683195598
Manhattan,EAST VILLAGE,2025,1322500.0,804.0566330689508,86,
Manhattan,EAST VILLAGE,2026,1035000.0,591.328923283116,30,-0.21739130434782605
Manhattan,FASHION,2025,2300000.0,351.22225344197807,69,
Manhattan,FASHION,2026,1901607.5,451.62550171031535,26,-0.17321413043478262
Manhattan,FINANCIAL,2025,1298269.0,405.27411944464563,333,
Manhattan,FINANCIAL,2026,1485000.0,1179.5166858457997,87,0.14383074694073406
Manhattan,FLATIRON,2025,1937500.0,892.2264768206996,190,
