borough,bin,block,lot,community_board,filing_date,issuance_date,permit_type,job_type,permit_year,permit_month,approval_lag_days,is_new_building
Brooklyn,3425980,5957,1,310.0,2017-01-24,2017-01-24,NB,NB,2017,1,0.0,1
Manhattan,1090734,1615,55,111.0,2016-05-17,2016-05-17,NB,NB,2016,5,0.0,1
Brooklyn,3418370,3205,30,304.0,2016-05-18,2016-05-18,NB,NB,2016,5,0.0,1
Brooklyn,3426429,4884,61,317.0,2016-09-14,2016-09-14,NB,NB,2016,9,0.0,1
Queens,4619543,13986,4,410.0,2018-05-29,2018-05-29,NB,NB,2018,5,0.0,1
Manhattan,1090466,832,44,105.0,2018-12-05,2018-12-05,NB,NB,2018,12,0.0,1
Queens,4113208,5004,12,407.0,2018-12-12,2018-12-12,NB,NB,2018,12,0.0,1
Brooklyn,3426516,6265,1,311.0,2015-10-28,2015-10-28,NB,NB,2015,10,0.0,1
Staten Island,5164807,5523,62,503.0,2020-01-06,2020-01-06,NB,NB,2020,1,0.0,1
Bronx,2129372,3075,52,206.0,2016-09-13,2016-09-13,NB,NB,2016,9,0.0,1
Bronx,2129373,3089,51,206.0,2016-09-15,2016-09-15,NB,NB,2016,9,0.0,1
Queens,4619730,6896,25,408.0,2017-08-25,2017-08-25,NB,NB,2017,8,0.0,1
Staten Island,5166595,543,13,501.0,2019-01-17,2019-01-17,NB,NB,2019,1,0.0,1
Queens,4618026,54,20,402.0,2019-01-24,2019-01-24,NB,NB,2019,1,0.0,1
Bronx,2129116,2439,53,204.0,2019-01-29,2019-01-29,NB,NB,2019,1,0.0,1
Queens,4618684,2498,2,405.0,2019-03-28,2019-03-28,NB,NB,2019,3,0.0,1
Bronx,2128926,4478,42,211.0,2019-02-19,2019-02-19,NB,NB,2019,2,0.0,1
Queens,4596213,473,553,401.0,2019-02-20,2019-02-20,NB,NB,2019,2,0.0,1
Brooklyn,3426352,5525,36,311.0,2019-02-20,2019-02-20,NB,NB,2019,2,0.0,1
Brooklyn,3424459,2790,5,301.0,2019-02-25,2019-02-25,NB,NB,2019,2,0.0,1
Queens,4609444,2016,170,404.0,2019-02-27,2019-02-27,NB,NB,2019,2,0.0,1
Staten Island,5169324,3340,122,502.0,2019-02-28,2019-02-28,NB,NB,2019,2,0.0,1
Queens,4607898,4683,151,407.0,2019-03-04,2019-03-04,NB,NB,2019,3,0.0,1
Queens,4607903,4683,46,407.0,2019-03-04,2019-03-04,NB,NB,2019,3,0.0,1
Brooklyn,3002703,271,34,302.0,2019-03-07,2019-03-07,NB,NB,2019,3,0.0,1
Queens,4614826,8600,78,413.0,2019-03-13,2019-03-13,NB,NB,2019,3,0.0,1
Manhattan,1090721,1039,27,104.0,2019-03-14,2019-03-14,NB,NB,2019,3,0.0,1
Brooklyn,3049844,1786,61,303.0,2019-03-15,2019-03-15,NB,NB,2019,3,0.0,1
Queens,4618588,6146,26,411.0,2019-03-19,2019-03-19,NB,NB,2019,3,0.0,1
Brooklyn,3247617,8796,154,315.0,2019-04-01,2019-04-01,NB,NB,2019,4,0.0,1
Queens,4614905,76,41,402.0,2019-04-03,2019-04-03,NB,NB,2019,4,0.0,1
Queens,4619890,15711,41,414.0,2016-01-26,2016-01-26,NB,NB,2016,1,0.0,1
Queens,4619891,15711,41,414.0,2016-05-18,2016-05-18,NB,NB,2016,5,0.0,1
Brooklyn,3426829,1003,45,306.0,2018-12-10,2018-12-10,NB,NB,2018,12,0.0,1
Brooklyn,3426783,430,42,306.0,2016-04-04,2016-04-04,NB,NB,2016,4,0.0,1
Manhattan,1089826,602,79,102.0,2019-04-16,2019-04-16,NB,NB,2019,4,0.0,1
Queens,4540038,1725,1,403.0,2016-07-15,2016-07-15,NB,NB,2016,7,0.0,1
Manhattan,1090720,1072,24,104.0,2019-04-26,2019-04-26,NB,NB,2019,4,0.0,1
Manhattan,1032071,1213,32,107.0,2019-04-30,2019-04-30,NB,NB,2019,4,0.0,1
Queens,4000573,76,39,402.0,2019-05-08,2019-05-08,NB,NB,2019,5,0.0,1
Brooklyn,3051181,1814,48,303.0,2019-05-08,,NB,NB,2019,5,,1
Queens,4617908,4269,8,407.0,2019-02-01,2019-05-08,NB,NB,2019,2,96.0,1
Brooklyn,3415874,2857,36,301.0,2019-05-09,2019-05-09,NB,NB,2019,5,0.0,1
Brooklyn,3056367,1968,49,303.0,2019-05-13,2019-05-13,NB,NB,2019,5,0.0,1
Brooklyn,3424567,728,69,307.0,2019-05-22,2019-05-22,NB,NB,2019,5,0.0,1
Brooklyn,3426730,1615,74,303.0,2019-05-31,2019-05-31,NB,NB,2019,5,0.0,1
Brooklyn,3076239,3331,5,304.0,2019-06-03,2019-06-03,NB,NB,2019,6,0.0,1
Queens,4156736,7307,33,411.0,2019-06-03,2019-06-03,NB,NB,2019,6,0.0,1
Queens,4168570,8077,21,411.0,2019-06-03,2019-06-03,NB,NB,2019,6,0.0,1
Bronx,2128732,3208,53,205.0,2019-06-03,2019-06-04,NB,NB,2019,6,1.0,1
Brooklyn,3424780,1514,11,303.0,2019-06-07,2019-06-07,NB,NB,2019,6,0.0,1
Brooklyn,3044162,1622,50,303.0,2019-06-07,2019-06-07,NB,NB,2019,6,0.0,1
Queens,4163319,7662,21,411.0,2019-06-07,2019-06-07,NB,NB,2019,6,0.0,1
Staten Island,5166595,543,13,501.0,2019-06-10,2019-06-10,NB,NB,2019,6,0.0,1
Brooklyn,3424926,1715,43,303.0,2019-06-14,2019-06-14,NB,NB,2019,6,0.0,1
Queens,4619928,9998,110,412.0,2017-03-31,2017-03-31,NB,NB,2017,3,0.0,1
Queens,4619971,1299,54,402.0,2018-12-04,,NB,NB,2018,12,,1
Bronx,2129385,5409,91,210.0,2019-06-19,2019-06-19,NB,NB,2019,6,0.0,1
Queens,4213041,9944,6,408.0,2019-06-20,2019-06-20,NB,NB,2019,6,0.0,1
Manhattan,1091569,825,20,105.0,2019-06-28,2019-06-28,NB,NB,2019,6,0.0,1
Queens,4622983,54,145,402.0,2016-06-01,2016-06-01,NB,NB,2016,6,0.0,1
Queens,4622981,54,142,402.0,2019-05-28,2019-05-28,NB,NB,2019,5,0.0,1
Brooklyn,3060751,2217,66,301.0,2019-07-05,2019-07-11,NB,NB,2019,7,6.0,1
Queens,4619872,5999,17,411.0,2019-07-05,2019-07-05,NB,NB,2019,7,0.0,1
Brooklyn,3426611,5220,1,314.0,2019-07-17,2019-07-17,NB,NB,2019,7,0.0,1
Queens,4307033,16319,51,414.0,2019-07-23,2019-07-23,NB,NB,2019,7,0.0,1
Brooklyn,3426887,1832,9,303.0,2016-06-30,2016-06-30,NB,NB,2016,6,0.0,1
Brooklyn,3426132,3319,25,304.0,2019-08-13,2019-08-13,NB,NB,2019,8,0.0,1
Brooklyn,3044162,1622,50,303.0,2019-08-13,2019-08-13,NB,NB,2019,8,0.0,1
Brooklyn,3073502,3232,67,304.0,2019-08-13,2019-08-13,NB,NB,2019,8,0.0,1
Queens,4618382,4387,101,407.0,2019-12-05,2019-12-05,NB,NB,2019,12,0.0,1
Queens,4623126,4416,181,407.0,2019-11-20,2019-12-12,NB,NB,2019,11,22.0,1
Brooklyn,3038424,1426,23,309.0,2019-12-13,2019-12-13,NB,NB,2019,12,0.0,1
Staten Island,5171397,105,1,501.0,2019-12-18,2019-12-18,NB,NB,2019,12,0.0,1
Brooklyn,3424499,4060,16,305.0,2019-12-20,2019-12-20,NB,NB,2019,12,0.0,1
Queens,4618091,642,36,401.0,2019-12-23,2019-12-23,NB,NB,2019,12,0.0,1
Brooklyn,3426699,8771,119,315.0,2019-12-24,2019-12-24,NB,NB,2019,12,0.0,1
Queens,4102997,4530,29,407.0,2019-12-26,2019-12-26,NB,NB,2019,12,0.0,1
Brooklyn,3075293,3294,20,304.0,2019-12-26,2019-12-26,NB,NB,2019,12,0.0,1
Queens,4171635,8263,120,411.0,2019-12-31,2019-12-31,NB,NB,2019,12,0.0,1
Queens,4618620,2159,80,406.0,2020-01-06,2020-01-06,NB,NB,2020,1,0.0,1
Brooklyn,3421775,5966,1,310.0,2020-01-03,2020-01-03,NB,NB,2020,1,0.0,1
Manhattan,1090788,425,28,103.0,2020-01-09,2020-01-09,NB,NB,2020,1,0.0,1
Queens,4623169,10829,130,412.0,2018-10-22,2018-11-05,NB,NB,2018,10,14.0,1
Manhattan,1089694,729,51,104.0,2020-01-08,2020-01-09,NB,NB,2020,1,1.0,1
Queens,4623096,12136,47,412.0,2020-01-15,2020-01-15,NB,NB,2020,1,0.0,1
Queens,4623192,16350,400,414.0,2019-10-07,2019-10-07,NB,NB,2019,10,0.0,1
Manhattan,1047461,1508,4,108.0,2020-02-10,2020-02-10,NB,NB,2020,2,0.0,1
Queens,4114764,5051,75,407.0,2020-02-20,2020-02-20,NB,NB,2020,2,0.0,1
Queens,4438162,5181,17,407.0,2020-02-25,2020-02-25,NB,NB,2020,2,0.0,1
Queens,4031845,1349,6,402.0,2020-03-02,2020-03-02,NB,NB,2020,3,0.0,1
Brooklyn,3083774,3717,6,305.0,2020-03-02,2020-03-02,NB,NB,2020,3,0.0,1
Brooklyn,3072209,3171,28,304.0,2020-03-03,2020-03-03,NB,NB,2020,3,0.0,1
Staten Island,5169839,6662,16,503.0,2020-03-05,2020-03-05,NB,NB,2020,3,0.0,1
Staten Island,5141059,5775,56,503.0,2020-03-09,2020-03-09,NB,NB,2020,3,0.0,1
Staten Island,5022861,882,41,502.0,2020-03-31,2020-03-31,NB,NB,2020,3,0.0,1
Manhattan,1090662,1556,2,108.0,2020-04-06,2020-04-15,NB,NB,2020,4,9.0,1
Brooklyn,3029869,1203,10,308.0,2019-05-09,2019-05-09,NB,NB,2019,5,0.0,1
Brooklyn,3421943,1468,56,316.0,2019-11-08,2019-11-08,NB,NB,2019,11,0.0,1
Queens,4541525,5192,51,407.0,2020-05-07,2020-05-07,NB,NB,2020,5,0.0,1
Staten Island,5168697,6944,134,503.0,2019-05-07,2019-05-07,NB,NB,2019,5,0.0,1
Brooklyn,3425002,1734,70,303.0,2020-05-19,2020-05-19,NB,NB,2020,5,0.0,1
