borough,community_board,permit_year,total_permits,new_buildings,major_alterations,avg_approval_lag,permit_growth_yoy,permits_3yr_avg,avg_lot_area,avg_bldg_area,avg_floors,avg_building_age,pct_vacant,avg_assessed_value,avg_value_per_sqft,avg_far_proxy,avg_dist_to_subway_m,pct_within_800m_subway,num_lots,borough_median_price,borough_price_appreciation,borough_num_sales,high_development
Brooklyn,301.0,2015,4,4,0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
Brooklyn,301.0,2016,2,2,0,0.0,-0.5,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
Brooklyn,301.0,2017,4,4,0,0.75,1.0,3.3333333333333335,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
Brooklyn,301.0,2018,3,3,0,1.0,-0.25,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
Brooklyn,301.0,2019,3,3,0,2.0,0.0,3.3333333333333335,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
Brooklyn,302.0,2016,1,1,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Brooklyn,302.0,2017,1,1,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Brooklyn,302.0,2018,2,2,0,0.0,1.0,1.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Brooklyn,302.0,2019,2,2,0,0.0,0.0,1.6666666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
Brooklyn,303.0,2015,4,4,0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
Brooklyn,303.0,2016,4,4,0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
Brooklyn,303.0,2017,3,3,0,0.0,-0.25,3.6666666666666665,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
Brooklyn,303.0,2018,6,6,0,0.0,1.0,4.333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
