borough,bin__,block,lot,community_board,filing_date,issuance_date,permit_type,job_type
BROOKLYN,3044162,01622,00050,303,2019-06-07 ,2019-06-07 ,NB,NB
BROOKLYN,3076239,03331,00005,304,2019-06-03 ,2019-06-03 ,NB,NB
QUEENS,4168570,08077,00021,411,2019-06-03 ,2019-06-03 ,NB,NB
BRONX,2128732,03208,00053,205,2019-06-03 ,2019-06-04 ,NB,NB
QUEENS,4156736,07307,00033,411,2019-06-03 ,2019-06-03 ,NB,NB
BROOKLYN,3426730,01615,00074,303,2019-05-31 ,2019-05-31 ,NB,NB
QUEENS,4622981,00054,00142,402,2019-05-28 ,2019-05-28 ,NB,NB
BROOKLYN,3424567,00728,00069,307,2019-05-22 ,2019-05-22 ,NB,NB
BROOKLYN,3056367,01968,00049,303,2019-05-13 ,2019-05-13 ,NB,NB
BROOKLYN,3029869,01203,00010,308,2019-05-09 ,2019-05-09 ,NB,NB
BROOKLYN,3415874,02857,00036,301,2019-05-09 ,2019-05-09 ,NB,NB
BROOKLYN,3426921,07290,00059,315,2019-05-08 ,2019-05-08 ,NB,NB
QUEENS,4000573,00076,00039,402,2019-05-08 ,2019-05-08 ,NB,NB
BROOKLYN,3051181,01814,00048,303,2019-05-08 ,,NB,NB
STATEN ISLAND,5168697,06944,00134,503,2019-05-07 ,2019-05-07 ,NB,NB
MANHATTAN,1032071,01213,00032,107,2019-04-30 ,2019-04-30 ,NB,NB
MANHATTAN,1090720,01072,00024,104,2019-04-26 ,2019-04-26 ,NB,NB
MANHATTAN,1089826,00602,00079,102,2019-04-16 ,2019-04-16 ,NB,NB
QUEENS,4614905,00076,00041,402,2019-04-03 ,2019-04-03 ,NB,NB
BROOKLYN,3247617,08796,00154,315,2019-04-01 ,2019-04-01 ,NB,NB
QUEENS,4618684,02498,00002,405,2019-03-28 ,2019-03-28 ,NB,NB
QUEENS,4618588,06146,00026,411,2019-03-19 ,2019-03-19 ,NB,NB
BROOKLYN,3049844,01786,00061,303,2019-03-15 ,2019-03-15 ,NB,NB
MANHATTAN,1090721,01039,00027,104,2019-03-14 ,2019-03-14 ,NB,NB
QUEENS,4614826,08600,00078,413,2019-03-13 ,2019-03-13 ,NB,NB
BROOKLYN,3002703,00271,00034,302,2019-03-07 ,2019-03-07 ,NB,NB
QUEENS,4607898,04683,00151,407,2019-03-04 ,2019-03-04 ,NB,NB
QUEENS,4607903,04683,00046,407,2019-03-04 ,2019-03-04 ,NB,NB
STATEN ISLAND,5169324,03340,00122,502,2019-02-28 ,2019-02-28 ,NB,NB
QUEENS,4609444,02016,00170,404,2019-02-27 ,2019-02-27 ,NB,NB
BROOKLYN,3424459,02790,00005,301,2019-02-25 ,2019-02-25 ,NB,NB
QUEENS,4596213,00473,00553,401,2019-02-20 ,2019-02-20 ,NB,NB
BROOKLYN,3426352,05525,00036,311,2019-02-20 ,2019-02-20 ,NB,NB
BRONX,2128926,04478,00042,211,2019-02-19 ,2019-02-19 ,NB,NB
QUEENS,4617908,04269,00008,407,2019-02-01 ,2019-05-08 ,NB,NB
BRONX,2129116,02439,00053,204,2019-01-29 ,2019-01-29 ,NB,NB
QUEENS,4618026,00054,00020,402,2019-01-24 ,2019-01-24 ,NB,NB
STATEN ISLAND,5166595,00543,00013,501,2019-01-17 ,2019-01-17 ,NB,NB
QUEENS,4113208,05004,00012,407,2018-12-12 ,2018-12-12 ,NB,NB
BROOKLYN,3426829,01003,00045,306,2018-12-10 ,2018-12-10 ,NB,NB
MANHATTAN,1090466,00832,00044,105,2018-12-05 ,2018-12-05 ,NB,NB
QUEENS,4619971,01299,00054,402,2018-12-04 ,,NB,NB
QUEENS,4608253,09999,00009,412,2018-10-31 ,2018-10-31 ,NB,NB
BROOKLYN,3426044,00922,00037,307,2018-10-29 ,2018-10-29 ,NB,NB
STATEN ISLAND,5170585,04500,00010,503,2018-10-22 ,2018-10-22 ,NB,NB
QUEENS,4623169,10829,00130,412,2018-10-22 ,2018-11-05 ,NB,NB
QUEENS,4301909,15849,00021,414,2018-10-17 ,2018-10-17 ,NB,NB
QUEENS,4175875,08622,00060,413,2018-10-16 ,2018-10-16 ,NB,NB
BRONX,2129181,02523,00169,204,2018-10-15 ,2018-10-15 ,NB,NB
QUEENS,4618554,12399,00322,412,2018-10-01 ,2018-10-01 ,NB,NB
QUEENS,4052302,02220,00049,406,2018-09-27 ,2018-09-27 ,NB,NB
QUEENS,4596248,15542,00051,414,2018-09-25 ,2018-09-27 ,NB,NB
BRONX,2128945,03240,00062,207,2018-09-24 ,2018-09-24 ,NB,NB
QUEENS,4295069,14163,00037,410,2018-09-19 ,2018-09-19 ,NB,NB
QUEENS,4618775,12037,00008,412,2018-09-19 ,2018-09-19 ,NB,NB
QUEENS,4302545,16030,00013,414,2018-09-19 ,2018-09-19 ,NB,NB
BRONX,2129118,03016,00011,206,2018-09-07 ,2018-09-07 ,NB,NB
BROOKLYN,3022819,01021,00045,306,2018-09-04 ,2018-09-04 ,NB,NB
BROOKLYN,3426584,01699,00033,303,2018-08-30 ,2018-08-30 ,NB,NB
QUEENS,4617277,13609,00034,413,2018-08-23 ,2018-08-23 ,NB,NB
