borough,bin__,block,lot,community_board,filing_date,issuance_date,permit_type,job_type
QUEENS,4177288,08680,00066,413,2016-03-11 ,2016-03-11 ,NB,NB
BROOKLYN,3398391,02033,00021,302,2016-03-10 ,2016-03-10 ,NB,NB
BROOKLYN,3396269,01146,00046,308,2016-03-10 ,2016-03-10 ,NB,NB
QUEENS,4198273,09417,00042,409,2016-02-01 ,2016-02-01 ,NB,NB
QUEENS,4619890,15711,00041,414,2016-01-26 ,2016-01-26 ,NB,NB
BROOKLYN,3403583,03154,00036,304,2016-01-19 ,2016-01-19 ,NB,NB
STATEN ISLAND,5160440,06110,00050,503,2016-01-19 ,2016-01-19 ,NB,NB
BROOKLYN,3330686,01254,00026,308,2016-01-19 ,2016-01-19 ,NB,NB
QUEENS,4541422,15962,00100,414,2016-01-15 ,2016-01-15 ,NB,NB
BRONX,2829742,05839,04018,208,2016-01-13 ,2016-01-13 ,NB,NB
BROOKLYN,3338163,02771,00001,301,2016-01-07 ,2016-01-07 ,NB,NB
BROOKLYN,3413946,04819,00011,309,2016-01-06 ,2016-01-21 ,NB,NB
MANHATTAN,1089953,00394,00010,103,2015-12-31 ,2015-12-31 ,NB,NB
BROOKLYN,3396741,02135,00035,301,2015-12-29 ,2015-12-29 ,NB,NB
QUEENS,4617743,00598,00006,401,2015-12-28 ,2015-12-28 ,NB,NB
BROOKLYN,3398314,04452,00325,305,2015-12-07 ,2015-12-07 ,NB,NB
QUEENS,4072821,03103,00071,406,2015-11-24 ,2015-11-24 ,NB,NB
QUEENS,4266105,12272,00006,412,2015-11-20 ,2015-11-20 ,NB,NB
QUEENS,4466185,16350,00400,414,2015-11-13 ,2015-11-13 ,NB,NB
BROOKLYN,3425495,03043,00027,301,2015-11-12 ,2015-11-12 ,NB,NB
BROOKLYN,3171429,06534,00006,312,2015-11-09 ,2015-11-10 ,NB,NB
BROOKLYN,3418101,02472,00100,301,2015-10-29 ,2015-10-29 ,NB,NB
BRONX,2831310,02617,00013,201,2015-10-29 ,,NB,NB
BROOKLYN,3426516,06265,00001,311,2015-10-28 ,2015-10-28 ,NB,NB
BROOKLYN,3107423,04819,00039,309,2015-10-27 ,2015-10-27 ,NB,NB
QUEENS,4595992,02429,00040,402,2015-10-27 ,2015-10-29 ,NB,NB
QUEENS,4596388,15905,00302,,2015-10-23 ,2015-10-23 ,NB,NB
BROOKLYN,3425480,05517,00014,312,2015-10-14 ,2015-10-14 ,NB,NB
BROOKLYN,3423327,01593,00023,303,2015-10-08 ,2015-10-08 ,NB,NB
QUEENS,4617559,06175,00006,411,2015-10-05 ,2015-10-05 ,NB,NB
MANHATTAN,1035787,01292,00047,105,2015-09-29 ,2015-09-29 ,NB,NB
STATEN ISLAND,5166305,00908,00047,502,2015-09-16 ,2015-09-16 ,NB,NB
QUEENS,4154426,07184,00001,408,2015-09-04 ,2015-09-04 ,NB,NB
BROOKLYN,3382733,05635,00026,312,2015-09-02 ,2015-09-02 ,NB,NB
BROOKLYN,3010209,00685,00048,307,2015-09-02 ,2015-09-02 ,NB,NB
STATEN ISLAND,5164359,03893,00007,502,2015-08-18 ,2015-08-18 ,NB,NB
BROOKLYN,3425405,01788,00024,303,2015-08-07 ,2015-08-07 ,NB,NB
QUEENS,4217954,10231,00122,412,2015-08-06 ,2015-08-06 ,NB,NB
QUEENS,4862876,01536,00013,404,2015-08-04 ,2015-08-18 ,NB,NB
BROOKLYN,3114633,05026,00185,309,2015-07-22 ,2015-07-22 ,NB,NB
QUEENS,4607418,16276,00044,414,2015-07-20 ,2015-07-20 ,NB,NB
BRONX,2120278,03016,00038,206,2015-07-01 ,2015-07-08 ,NB,NB
BRONX,2124391,02960,00111,206,2015-06-30 ,2015-06-30 ,NB,NB
BROOKLYN,3400412,03022,00101,301,2015-06-29 ,2015-06-29 ,NB,NB
BROOKLYN,3015734,00848,00022,307,2015-06-26 ,2015-06-26 ,NB,NB
MANHATTAN,1088696,00451,00048,103,2015-06-16 ,2015-06-18 ,NB,NB
BROOKLYN,3426250,01667,00034,303,2015-06-15 ,2015-06-15 ,NB,NB
BROOKLYN,3425069,05064,00036,314,2015-06-12 ,2015-06-12 ,NB,NB
BROOKLYN,3421654,08900,00988,315,2015-06-09 ,2015-06-09 ,NB,NB
MANHATTAN,1090563,01540,00002,108,2015-06-03 ,2015-06-03 ,NB,NB
MANHATTAN,1060014,02006,00061,110,2015-05-15 ,2015-05-15 ,NB,NB
BRONX,2015974,03262,00017,208,2015-05-14 ,2015-05-14 ,NB,NB
QUEENS,4615287,16350,00300,414,2015-04-30 ,2015-04-30 ,NB,NB
BRONX,2119435,05643,00235,210,2015-04-22 ,2015-04-22 ,NB,NB
BROOKLYN,3054684,01897,00056,303,2015-04-20 ,2015-04-20 ,NB,NB
QUEENS,4594868,08229,00087,411,2015-04-08 ,2015-04-08 ,NB,NB
BROOKLYN,3397125,07470,00039,315,2015-03-26 ,2015-03-27 ,NB,NB
QUEENS,4292514,13962,00105,410,2015-03-18 ,2015-03-18 ,NB,NB
QUEENS,4114728,05050,00056,407,2015-03-06 ,2015-03-09 ,NB,NB
QUEENS,4617742,00475,00030,401,2015-01-26 ,2015-07-14 ,NB,NB
BRONX,2124426,03731,00033,209,2015-01-22 ,2015-01-22 ,NB,NB
