stop_name,line,borough,gtfs_latitude,gtfs_longitude
231 St,Broadway - 7Av,Bx,40.878856,-73.904834
63 Dr-Rego Park,Queens Blvd,Q,40.729846,-73.861604
34 St-Penn Station,8th Av - Fulton St,M,40.752287,-73.993391
Beach 90 St,Rockaway,Q,40.588034,-73.813641
50 St,Broadway - 7Av,M,40.761728,-73.983849
96 St,Broadway - 7Av,M,40.793919,-73.972323
Franklin Av,8th Av - Fulton St,Bk,40.68138,-73.956848
51 St,Lexington Av,M,40.757107,-73.97192
8 Av,Sea Beach,Bk,40.635064,-74.011719
Richmond Valley,Staten Island,SI,40.519631,-74.229141
Atlantic Av-Barclays Ctr,Eastern Pky,Bk,40.684359,-73.977666
Flatbush Av-Brooklyn College,Nostrand,Bk,40.632836,-73.947642
Woodlawn,Jerome Av,Bx,40.886037,-73.878751
34 St-Herald Sq,6th Av - Culver,M,40.749719,-73.987823
Morris Park,Dyre Av,Bx,40.854364,-73.860495
8 Av,Canarsie,M,40.739777,-74.002578
Queensboro Plaza,Flushing,Q,40.750582,-73.940202
Whitlock Av,Pelham,Bx,40.826525,-73.886283
Flushing Av,Jamaica,Bk,40.70026,-73.941126
Clifton,Staten Island,SI,40.621319,-74.071402
Park Place,Clark St,M,40.713051,-74.008811
Jackson Av,Lenox - White Plains Rd,Bx,40.81649,-73.907807
Tremont Av,Concourse,Bx,40.85041,-73.905227
Bedford Av,Canarsie,Bk,40.717304,-73.956872
Roosevelt Island,63rd St,M,40.759145,-73.95326
Woodhaven Blvd,Jamaica,Q,40.693879,-73.851576
Eltingville,Staten Island,SI,40.544601,-74.16457
2 Av,6th Av - Culver,M,40.723402,-73.989938
Rockaway Av,Eastern Pky,Bk,40.662549,-73.908946
